onset	duration	parametric.loss	distance.from.indifference	parametric.gain	gain	loss	PTval	respnum	respcat	response_time	rho	lambda	V_gamble
0	3	-0.3706	-0.0818	-0.1194	20	5	11.6	1	1	1.811	0.6229721238469244	1.4882009162237635	1.2040188647814642
4	3	0.2294	0.2515	-0.0694	22	17	-6.58	4	0	1.656	0.6229721238469244	1.4882009162237635	-0.9170272478946613
8	3	0.1794	0.2515	-0.3694	10	16	-16.89	4	0	1.3940000000000001	0.6229721238469244	1.4882009162237635	-2.0870075698549133
12	3	0.2794	-0.4152	0.3306	38	18	7.74	2	1	1.48	0.6229721238469244	1.4882009162237635	0.31659164025550623
16	3	0.0794	-0.0818	-0.1194	20	14	-3.53	4	0	1.704	0.6229721238469244	1.4882009162237635	-0.6195360897145781
24	3	0.0294	0.2515	-0.2694	14	13	-7.85	4	0	1.179	0.6229721238469244	1.4882009162237635	-1.089723721380095
28	3	-0.2206	0.5848	0.3806	40	8	26.55	1	1	1.105	0.6229721238469244	1.4882009162237635	2.2595833924502253
32	3	0.2794	-0.0818	0.1806	32	18	1.74	3	0	1.849	0.6229721238469244	1.4882009162237635	-0.1728602335329823
36	3	-0.2206	-0.0818	-0.0194	24	8	10.55	1	1	1.345	0.6229721238469244	1.4882009162237635	0.9029009045178444
40	3	0.0794	-0.0818	0.2806	36	14	12.47	2	1	1.8719999999999999	0.6229721238469244	1.4882009162237635	0.8096909300354942
44	3	-0.3206	0.2515	0.0806	28	6	17.91	1	1	0.945	0.6229721238469244	1.4882009162237635	1.7137948450718357
48	3	0.0794	0.2515	-0.2194	16	14	-7.53	4	0	1.354	0.6229721238469244	1.4882009162237635	-1.0389973816875466
56	3	-0.1706	-0.0818	-0.2694	14	9	-1.13	3	0	1.3869999999999998	0.6229721238469244	1.4882009162237635	-0.33674384332086094
60	3	0.0294	-0.0818	-0.1194	20	13	-1.85	2	1	1.6640000000000001	0.6229721238469244	1.4882009162237635	-0.4457622409397093
64	3	0.2794	-0.0818	0.1306	30	18	-0.26	2	1	1.393	0.6229721238469244	1.4882009162237635	-0.3435560199139527
72	3	0.1294	0.2515	-0.2694	14	15	-11.21	4	0	1.1159999999999999	0.6229721238469244	1.4882009162237635	-1.4326494300774186
76	3	-0.0206	-0.0818	-0.3194	12	12	-8.17	4	0	1.0979999999999999	0.6229721238469244	1.4882009162237635	-1.147805832722617
84	3	-0.0706	-0.4152	-0.0194	24	11	5.51	2	1	1.4969999999999999	0.6229721238469244	1.4882009162237635	0.3065007525219139
88	3	-0.1206	-0.0818	-0.3194	12	10	-4.81	4	0	0.993	0.6229721238469244	1.4882009162237635	-0.7721348894362832
94	3	-0.3206	-0.4152	-0.2194	16	6	5.91	1	1	0.8759999999999999	0.6229721238469244	1.4882009162237635	0.5406224650345406
98	3	0.3794	-0.4152	0.3306	38	20	4.38	2	1	1.8330000000000002	0.6229721238469244	1.4882009162237635	0.011023107865500315
102	3	-0.1206	-0.0818	0.0806	28	10	11.19	2	1	1.514	0.6229721238469244	1.4882009162237635	0.8625133454133898
106	3	-0.2706	-0.0818	-0.1194	20	7	8.23	1	1	0.924	0.6229721238469244	1.4882009162237635	0.7310855800492013
110	3	-0.1706	0.2515	0.3306	38	9	22.87	1	1	0.882	0.6229721238469244	1.4882009162237635	1.8961208999037962
120	3	-0.0206	-0.0818	0.0306	26	12	5.83	3	0	2.1180000000000003	0.6229721238469244	1.4882009162237635	0.3070148849226273
132	3	0.0794	0.2515	-0.3694	10	14	-13.53	4	0	1.365	0.6229721238469244	1.4882009162237635	-1.7529061836852953
136	3	0.0294	0.2515	-0.3194	12	13	-9.85	4	0	0.986	0.6229721238469244	1.4882009162237635	-1.3266993877250557
146	3	0.1294	-0.0818	-0.0194	24	15	-1.21	2	1	1.413	0.6229721238469244	1.4882009162237635	-0.39992995472982074
150	3	0.1294	-0.4152	0.1806	32	15	6.79	2	1	1.443	0.6229721238469244	1.4882009162237635	0.31076343935874995
154	3	0.1294	-0.0818	0.2806	36	15	10.79	2	1	1.77	0.6229721238469244	1.4882009162237635	0.6405390701130393
162	3	0.2794	-0.4152	0.2806	36	18	5.74	2	1	1.493	0.6229721238469244	1.4882009162237635	0.1569153972213071
166	3	0.2794	0.5848	-0.3194	12	18	-18.26	4	0	1.258	0.6229721238469244	1.4882009162237635	-2.1532487693141116
176	3	-0.1706	-0.4152	-0.1194	20	9	4.87	1	1	0.9840000000000001	0.6229721238469244	1.4882009162237635	0.30721763711952477
180	3	-0.2206	-0.4152	-0.2194	16	8	2.55	2	1	1.89	0.6229721238469244	1.4882009162237635	0.0946816176376637
184	3	0.3794	0.5848	-0.3194	12	20	-21.62	4	0	0.96	0.6229721238469244	1.4882009162237635	-2.4588173017041175
194	3	0.3294	0.2515	-0.0694	22	19	-9.94	4	0	1.4709999999999999	0.6229721238469244	1.4882009162237635	-1.2288972252516492
200	3	-0.1706	0.2515	0.2806	36	9	20.87	1	1	1.271	0.6229721238469244	1.4882009162237635	1.736444656869597
204	3	-0.3206	0.2515	0.0306	26	6	15.91	1	1	1.1159999999999999	0.6229721238469244	1.4882009162237635	1.533967327867407
208	3	-0.3706	0.2515	0.1306	30	5	21.6	1	1	1.156	0.6229721238469244	1.4882009162237635	2.1327744673962767
212	3	-0.2706	0.5848	0.2806	36	7	24.23	1	1	0.868	0.6229721238469244	1.4882009162237635	2.1603125997992736
216	3	-0.1206	-0.4152	-0.1694	18	10	1.19	2	1	1.495	0.6229721238469244	1.4882009162237635	-0.09652521494236055
220	3	-0.1706	-0.0818	0.1306	30	9	14.87	1	1	0.8440000000000001	0.6229721238469244	1.4882009162237635	1.2359732397343373
226	3	-0.0206	-0.0818	0.1306	30	12	9.83	2	1	1.3430000000000002	0.6229721238469244	1.4882009162237635	0.6618869166775418
236	3	-0.2206	-0.4152	-0.2694	14	8	0.55	3	0	1.5959999999999999	0.6229721238469244	1.4882009162237635	-0.12981857082975345
240	3	0.3294	0.2515	-0.1194	20	19	-11.94	4	0	1.149	0.6229721238469244	1.4882009162237635	-1.4266125645721375
244	3	0.0794	-0.4152	0.0806	28	14	4.47	3	0	1.453	0.6229721238469244	1.4882009162237635	0.13417499834974844
250	3	0.2294	0.5848	-0.2194	16	17	-12.58	4	0	1.063	0.6229721238469244	1.4882009162237635	-1.534203879188118
